,label,judul_clean,narasi_clean
14,1,foto anak rohingya disiksa komuni,relakah anak cucu dibikin anak rohingya komuni berkuasa
15,1,orang cina ktp cilacap nama karsono,kejadian pln pltu cilacap bunton adipala orang cina berbahasa indonesia bahasa jawa banyumasan tapi ktp cilacap nama karsono payah kie camat bupatin benar
16,1,fadli zon warga indonesia pilih prabowo pilpr usir indonesia,fadlizon warga indonesia yang tidak pilih prabowo pilpr kamu usir dari indonesia seriu sih zonk
17,1,pesan berantai undian berhadiah kementerian tenaga kerja pekerja migran indonesia hongkong,informasi resmi depnak republik indonesia selamat terpilih penghargaan nanti departemen ketenaga pekerjaan indonesia pahlawan devisa negara terbaik kode registrasi twn hubungi call offic an haryono kunjungi alamat websit wwwdepnakeryolasitecom penerimah pemberitahuan telephon sm whatsapp resmi penghargaan diundi penghargaan depnak beba biaya sertifikat beba pajak pemerintah republik indonesia pengurusan penghargaan pengawasan kepolisian negara republik indonesia dumaksudkan menghindari halhal negatif peringatan hati hati penipuan pengurusan biaya oknum oknum bertanggunh sepengetahuan depnak ri pengirim depnak ri
18,1,indonesia penuhi pki,hahhahhahahhaha indonesia penuhi pki gimanah nih apa kowi
19,0,sandi sarankan warga mengadu kelurahan,astaga sandiaga sarankan warga mengadu kelurahan balai kota
20,1,demo konflik ojek onlin angkutan bandung,prediksi besok bandung kota besok sinyalir kubu demo lagi besaran ojek onlin gabungan kumpul tggung kubu angkot gabungan jlbkr grab ojek tabrak sengaja sampai mati buah batu grab mati juga tabrak angkot karapitan grab juga gebukin angkot juga ojek onlin yang hilang enggak kabar
21,0,irina istri ahli itu hermansyah mantan psk,irina istri ahli itu hermansyah mantan psk
22,0,nezar patria kader pki rapat malam istana jam malam tuduhan alfian tandjung,nezar patria kader pki rapat malam istana jam malam tuduhan alfian tandjung
23,1,hati hati panggilan telpon nomor diken,hati hati panggilan telpon nomor diken
24,1,larangan antimira minimarket ditiadakan rezim jokowi paska gobel,april menteri perdagangan rachmat gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alia minuman kera minimarket indonesia larangan tertuang peraturan menteri perdagangan permendag nomor mdagper pengendalian pengawasan pengadaan peredaran penjualan minuman beralkohol diubah
25,1,corona hoak,corona is hoax
26,1,kapal kargo pengangkut kadrun tenggelam laut china selatan,kapal kargo indonesia tujuan china dilaporkan tenggelam laut china selatan sabtu malam akibat kebocoran lambung kapal kapal mengangkut kadrun tujuan china tujuan objek percobaan vaksin covid dimana harga monyet china mahal harga kadrun kali murah harga monyet penyelidikan otorita tiongkok kecelakaan fatal
27,1,foto gubernur ani makan sekumpulan orang jawa tulen,sekumpulan orang jawa tulen menyantap kulin kha jawa nasi samin kebab buaya panggang minumannya fifi onta segar percakapan memakai bahasa jawa halu alia kromo inggil pulaseperti ana akhi antum afwan hmmm sungguh mengagumkan nb seng wani prote pki opo kow bong
28,1,mulan jameela undur dpr ri,mundur terhormat pecat hayo monggo mengundurkan sanggup becu kerjanya
29,1,video fkppi bandung berkumpul mona siaga ruu hip disyahkan dpr,fkppi bandung berkumpul mona siaga ruu hip disyahkan dpr revolusi jihad mati syahid hidup mulia bela negara ancaman komunism
30,1,pembantu positif corona penjaringan,pembantu orang te positif corona
31,1,foto sudjiatmi disiksa alam barzakh,sudjiatmi disiksa alam barzakh hj sudjiatmi presiden jokowi tersiksa alam kubur sadi brutal kejam ampunan disaat tanggal april jenazah sudjiatmi semayamkan alam kubur beranjak makamnya beliau presiden joko widodo
32,1,berdamai corona jokowi pemerintah kalah menyerah,astaghfirullah kemarin lawan viru corona ayo berdamai dngn viru corona pemerintah kalah mengibarkan bendera putih tanda menyerah
33,1,penerima stiker pesan whatsapp dikenakan biaya,tahukah teman ku group stiker menguntungkan pembuat nya stiker gambar yang saudaraku krmkan wa pembayarannya dibebankan kepada yang menerima rp
34,1,foto mahfud md mengaku ashraf nikahi bcl,mengaku ashraf pria nikahi bcl
35,1,diculik umur anak kejadian angkot lebak bulu parung ibunda sih bayi dihipnoti,diculik keponakan yulianah umur anak jeni kelamin perempuan kejadian angkot lebak bulu parung ibunda sih bayi dihipnoti angkot diturunkan pondok cabe pelakupenculikan kejadian sabtu feb jam
36,1,viru corona apartemen taman anggrek,dapat info client viru corona sudah sampai apart ta sudah orang wuhan yang kena tapi manag tutupi mall bisa beroperasi mereka enggak rugi barusan banget dapat info dari client yang suaminya orang cina mereka komunita orang cina indonesia mereka kasih tau untuk jauhi apart ta
37,1,presiden cina xi jinp mengunjungi masjid umat islam berdoa negeri dilanda krisi,presiden cina xi jinp mengunjungi masjid umat islam berdoa negara dilanda krisi membutuhkan bantuan
38,1,pesan berantai biaya tilang,biaya tilang terbaru indonesia kapolri mantap stnk rp tidak bawa sim rp tidak pakai helm rp
39,1,video jokowi pucat surabaya pelaku korupsi,jokowi puct surabaya ungkp plku krup jiwasraya diduga orang jokow heboh
40,1,all jakarta water park,perkenalkan all jakarta water park
41,1,pergantian kartu keluarga warga dki jakarta,dina dukcapil jakarta mewajibkan warga jakarta mengganti kakak tenggat imbauan memutakhirkan data didorong pemerintah input data statu pernikahan golongan darah susunan anggota keluarga
42,1,usu ibunya dimakan bayi,bayi bulan dalam perut ibunya habi usu ibunya dimakan bayi dokter mengoprasi ibunya mengeluarkan bayi bayi gigit tangan perawat jam sih perawat meningg bayi meningg bayi bayi lahir dengan berat kg jam bertambah beratnya kg bayi lahir jumat allah kasih peringatan bayi ini dibunuh dokter memberinya suntik mematikan kali bayi mati kisah benarbenar india wallahu alam
43,1,foto awan mengerikan jepang,ngeri sih semoga teman yang disana selamat amin yrb
44,1,narasi presiden korea utara menghukum pejabatnya korupsi,presiden korea utara menghukum pejabatnya terlibat korupsi dihadapan awak media cetak elektronik berrjalan bergandengan tangan plung dibawahnya kandang buaya luaaaar biasa
45,1,almarhum habibi formasi ja merah mob umm,formasi merahputih kah ahmad dahlan logo umm student today leader tomorrow peta indonesia pray for lombok
46,1,petuga tewa tersetrum perbaikan listrik,kecamatan pedurungan
47,1,tv negeri memberitakan prabowo the next presiden,tv negeri memberitakan prabowo the next presiden
48,1,ketua kpu umroh bareng jokowi,aneh menjelang pemilu kok bisanya ketua kpu umroh bareng jokowi kpu kpln pelanggaran
49,1,tiket promo kereta api hut bumn,jalan kereta yuk hayo jalan tiket kak promo
50,1,simulasi orang gila bawa tp pemilu,simulasi orang gila bawa tp pemilu nantipertama dunia
51,1,broadcast whatsapp info test seleksi gttptt,tabe keluargata yang guru sama info
52,1,puan maharani buka posko logistik reuni,info alumni harap hindari posko mona posko milik puan maharani istiql sebarkan jamaah tau
53,1,penerbangan pesawat hercul grati palu keluarga korban gempa tsunami,jadwal hercul malam jam subuh besok lanud makassar
54,1,capt pribadi pengemudi pesawat mengijinkan hj neno warisman,capt pribadi pengemudi pesawat mengijinkan hj neno warisman sang dedengkot gerakan makar sistem pengera suara pesawat
55,0,coach indra sjafri digaji ikhla,kendati suks mengantarkan timna indonesia juara piala aff lolo putaran final piala asia
56,1,alquran diklaim alquran palsu beredar,alquran palsu karang orang kafir
57,1,yelyel kecebong merencanakan menyusup cfd,ane sebarin deh videonya nih lihat yelyel kecebong yang merencanakan menyusup cfd menghancurkan hastag cc putri riau allah sebaikbaik pembala tipu daya
58,0,kronolog polisi berondong sedan terobo razia lubuklinggau,innalillah lalai terobo razia mobil berisi keluarga ditembaki polisi orang tewa
59,0,kemristekdikti undang dosen ase profesor kela dunia,dosen ase profesor kela dunia orang indonesia mengikuti program mengajar universita negeri koneksi peraih nobel direktur jender sumber daya iptek dikti kemristekdikti ali ghufron mukti jakarta selasa
60,1,kecam pernyataan said aqil neno warisman terima,kecam pernyataan said aqil neno warisman terima pernyataan kontroversi ketua pbnu said aqil siradj menonton film porno dengarkan ceramah radik istighfar kecaman pegiat pendidikan anak neno warisman menuliskan kemarahannya tulisan
61,1,memerangi allah of kung fu,nama hasil translat otomati googl game aslinya berjudul galaxi fight god of kung fu
62,1,permen susu mengandung narkoba,assalamualaikum informasi teman dokter anaknya bidan banyuma makan permen susu teru enggak makan ngefli disarankan teman dokter purbalingga membawa permen tersebut bnn hasilnya positif mengandung narkoba jeni benzodiazepin
63,1,konser ani sandi no menang telak,gue menang telak
64,1,poster aksi damai bela islam mencantumkan nama foto gatot nurmantyo,beredarnya poster aksi damai bela islam viral media sosial poster nama foto panglima tni jender gatot nurmantyo
65,0,surat syarat hak pilih pilkada dki jakarta,pengumuman pilkada dki pemilih wajib ambil surat on feb dengan penguru rt sampai feb surat diambil langsung pemilik rt kembalikan kpu warga dki yang milik memilih jam bawa ektp suket kakak asli pakai suara hangu tolong sebarkan thank you
66,1,pernyataan danjen kopassu dukung fpi,tni wara kecuali wereng coklatkenapa begitu ya sih sejarah buruk terulang kembalikan seram banget danjen kopassu fpi orma terbesar suka membantu memberanta kemahsiatan dibubarkan orma preman suka membekingi kemahsiatan suka bikin resah masyarakat
67,1,gambar salib barang bantuan bencana,hati hati teliti menerima bentuk bantuan korban gempa gambar salib handuk bantuan yang edarkan
68,1,aksi penghargaan rekor dunia,tersebar gambar piagam aksi penghargaan rekor dunia
69,1,foto petinggi kepolisian mengizinkan demo neo pki,demo neo pki sudah ijin buntelan kentut maaf ralat petinggi kepolisian tinggal tunggu gender perang ditabuh saja
70,1,tulisan teriakan pancasila mu dari abdul muti med,teriakan pancasila mu dari abdul muti med sekum pp muhamadyah
71,1,petuga rapid test jarang mengganti sarung tangan tularkan covid pasien,tibatiba andapanjenengan terjebak operasi rapid te dadakanujug ujug petuga mengharuskan mengikuti rapid te diperhatikan sarung tangan petug sarung tangan dipakai ituitu dipakai ganti ganti dimana petuga pegang orangoasien rapid te ganti sarung tangan petuga memegang andapanjenengan letak rawannya penularan viru nya enggak tau petuga enggak tau orang dipegang orang positifreaktif negatif penularan ditempat rapid te massal
72,1,video dokter bule,nih dokter bule mengomong mengasih data lengkap detail intinya covid saja enggak mematikan sembuh meningg penyakit dimasukkan daftar covid mengira sinih saja lockdown psbb menimbulkan dampak buruk diband covid
73,1,vietnam korban meningg covid teh lemon,kabar gembira istimewa vietnam korban covid yang matiberita super obat viru covid tercapai informasi negara vietnam viru covid menyebabkan kematian resepnya sederhana ampuh teh lemonminumlah teh pana campur perasan lemondapat membunuh viru covid sepenuhnya menghilangkan viru covid tubuh bahan sistem kekebalan tubuh bersifat basa malam sistem tubuh asam kemampuan detensif berkurang orang vietnam santai menyebarnya viru covid vietnam orang minum segela air pana lemon malam terbukti membunuh viru covid total bagikan resep sakti memburu pahala resep sederhana efektif terinfeksi viru covid izin tuhan ymeselamat mencoba
74,1,ratusan warga china menetap indonesia singapura viru corona,ratusan warga china menetap indonesia pagi meninggalkan indonesia singapura situasi viru corona menyerang indonesia situasi indonesia normal
75,1,orang terinfeksi viru corona parepar,orang terinfeksi viru corona parepar waspada ki main main
76,1,the simpson memprediksi corona viru china,meremehkan the simpson the simpson corona viru china
77,1,membakar alquran jari tangan pria menghitam membusuk mengeluarkan bau menjijikan,azab pedih menimpa warga negara amerika merobekrobek membakar alquran terkena penyakit misteri jari tangannya melepuh membusuk menghitam lukanya menimbulkan aroma sedap
78,1,marak lowongan kerja mengatasnamakan perusahaannya pt inalum masyarakat waspada,manaj huma pt inalum bambang heru prayoga informasi sebutkan hoak penipuan harap masyarakat terkena penipuan rekrutmen nama inalum
79,1,cepat cek jantung air es batu,kesehatan jantung te sederhana mendeteksi sehat jantung menjaga jantung berfungsi kehidupan sehat jangka
80,1,presiden jokowi melecehkan bendera merah putih,coba dilhat melecehkan bendara indonesia tahan polda metro pegang bendara merah putih tangan mohon kekuatan hukum advokat pengacara tolong didampingin anak stm kasihan membelanya
81,1,suntingan video merri riana indonesia bubar,viral indonesia bubar video merri riana asli tonton habi
82,1,berbau jawa jayapura hancur,video jayapura bandara dikaw marinir dievakuasi yang berbau jawa hancur
83,0,bahaya dage kurban dibungku kresek hitam,yusuf ridwan kantong plastik kresek berwarna hitam mengandung zat karsinogen zat pewarna tercampur dage akibat kontaminasi zat menyebabkan kanker lamayusuf ridwan kantong plastik kresek berwarna hitam mengandung zat karsinogen zat pewarna tercampur dage akibat kontaminasi zat menyebabkan kanker
84,1,sama hendropriyono meningg singapura,innalilahiwainalrajiun mati pembantai rakyat hendroprayono singaporejgn ucapi meninggalkarna pembantai manusia
85,0,penjelasan terkait video truk kontain bergambar jokowimaruf amin,truk semi kontain paslon kirakira membawa
86,1,bahaya semutkutu jepang untuk diabet,info bahaya semutkutu jepang untuk diabet sahabat saya magelang pengidap diabet kmd konsumsi semutkutu jepang yang mengobati diabet semut mengeluarkan insulin mengkonsumsi semutkutu jepang ususnya terkena bakteri rusak dipotong ususnya
87,1,cnn indonesia berita berjudul sertifikat ganda kerja rezim jokowi,cnn indonesia sertifikat ganda kerja rezim jokowi novemb
88,1,paham politik enggak sih,aduh kelemahannya jokowi enggak mudeng bikin kampret bodoh paham politik enggak sih
89,1,judul berita prabowo mengaji dibutuhkan memimpin negara,ah pokoknya prabowo laaah amin rai nyinyir ya keh keh keh
90,0,universita muhammadiyah kupang bantah menginisasi gerakan,terkait salah dosennya insiat gerakan kabupaten manggarai barat nusa tenggara timur ntt universita muhammadiyah kupang umk membantah kampusnya terlibat gerakan
91,0,pk gerindra purwakarta bantah pasang spanduk dinilai provokatif,caleg partai gerindra pk menolak khilafah indonesia damai menolak khilafah wilayah purwakarta barisan muda muslim purwakarta
92,1,kalimantan barat memana,menang songong kalah ngamuk
93,1,tersangka ujaran kebencian dosen usu himma dewiyana dibebaskan,terima kasih bang romo syafii ketua kahmi membantu membebaskan himma
94,1,dedi mulyadi menghamili siswi mt,bupati purwakarta calon wakil gubernur jawa barat dedi mulyadi membantah informasi menghamili siswi mt dedi saksi nikah anak tokoh masyarakat sumedang hamil menghamilinya
95,1,tuduh curi medali milik bambang pamungka muhammad yusuf buka suara,mantan ketua jakmania larico ranggamon ramai medali bepe hilang yusuf medali palsu tantenya pssi beda medali tim persija
96,1,malam jam pagi mengelilingi kabah,malam jam pagi mengelilingi kabah langit berwarna biru muda penerimaan doataubatmunajatini ribu malam berdoa diterima tawaaf kabah tolong orang rabbi minkulli zambi waatubu illiahi mengirim doa temanmu allah menyelesaikan masalahmu tolong kirimkan orang semoga bermanfaat amin
97,1,pendaftaran peserta uji nyali dunia tran pabrik mercon,pendaftaran peserta acara uji nyali dunia televisi tran spookier pengin ikutan uji nyali langsung kirim data email data diisi nama umur alamat pekerjaan motivasi uji nyali no telp
98,1,kartu sim xl indosat smarfren telkomsel disadap badan intelijen as,kemenkominfo badan regulasi telekomunikasi indonesia brti menerima laporan investigasi oper selul terkait dugaan penyadapan kartu sim buatan gemalto hutchinson xl axiata indosat telkomsel badan intelijen as nation secur agenc nsa govern commun headquart gchq
99,1,rombongan aniessandi ditilang miliki izin patwal puncak bogor,rombongan aniessandi ditilang miliki izin patwal puncak bogor
100,1,foto john kei disunt,bismillah team mualaf center darussalam diwakili harsha agousta brahma sadewa jender lisz dewi purnamawati berangkat lp batu nusakambangan cilacap niat john kei masuk islam memutuskan masuk islam john kei alia john refra pemuda tutrean pulau kei juluki godfath of jakarta
101,0,pengoperasionalan kereta bandara,teman kunjungan jakarta agustu transportasi kereta api bandara soekarnohatta
102,0,tusuk gigi sebarkan hiv aid,tusuk gigi sebarkan hiv aid
103,1,pelaku bom kampung melayu anggota polisi,pelaku bom kampung melayu anggota polisi
104,1,pembubabaran pengajian ustad khalid basalamah banser nu,pembubabaran pengajian ustad khalid basalamah banser nu
105,1,foto helikoptertank dunia buatan turki pakistan,foto helikoptertank dunia buatan turki pakistan
106,1,es krim merek aic bosnya orang cina bahannya kimia,siang saya mampir distributor es krim merk aic yang marak penetrasi bisnisnya yang terletak selatan tugu lilin makam haji spanduk bertulisan china iseng saya penjaga counter yang didepan pinggir jalan bo nya orang mbak jakarta solo orang china lho tau orang china sudah ketemu tri nunjuk disebuah mobil avanza putih bosnya dalam mobil mengomongnya saja pakai bahasa china asli china penasaran saya tunggu sih bo mobil chino
107,1,video anak muslim disiksa budha myanmar,video anak muslim disiksa budha myanmar
108,1,foto kerusuhan demo anti trump amerika serikat,foto kerusuhan demo anti trump amerika serikat
109,1,bentrok orma gerakan jaga indonesia fpi lpi hti kota bandung juli,aksi demo tujuan gedung dprmpr lakukan orang simpatisan pdip komandoi boedi djarot dkk menginjakinjak merobek membakar poster habib rizieq syihab berbuntut kota bandung bentrok orma gerakan jaga indonesia gjipdip ormasorma islam fpi hti lpi pembela penjaga pancasila nkri ulama akibatnya orang anggota ormasa gerakan jaga indonesia pdip mati kena sabetan pedang lasykar fpi hti orang mengalami luka sabetan bahu bentrokan melua kebakaran pertokoan berdekatan marka pdip lemparan bom molotov aparat polisi berani tkp
110,1,video kecelakaan maut air terjun uluk til belu ntt,kecelakaan maut air terjun uluk til belu ntt
111,1,aliran komuni gerakan pki bangkit pdip,prijanto istilah petuga partai ketua pdip megawati soekarnoputri jokowi dinilai modu komunism istilah petuga partai pekerja partai tokoh pki dan aidit
112,1,gubernur jakarta ani baswedan penghargaan terbaik dunia penanganan covid,gubernur jakarta ani baswedan penghargaan terbaik dunia penanganan covid
113,1,masyarakat new zealand belajar wudhu,kabar terbaru new zealand subhanallah masyarakat new zealand pada belajar wudhu kumpul lapangan belajar mendalami islam allah allahu akbar sungguh allah maha pembolak hati manusia
114,1,polisi india indonesia,kabar terkini polisi india indonesia menertibkan masyarakat yang tidak tinggal rumahsiapkan pantat minyak gosok
115,1,pasukan tentara membantu melawan viru corona new york,militari vehicl arriv ini manhattannew york wuhan coronaviru
116,1,video keluyuran diluar rumah malaysia ditembak api pakai drone,keluyuran diluar rumah malaysia ditembak api pakai drone
117,1,antisipasi corona bumn dki ditutup,antisipasi corona bumn dki ditutup
118,1,jokowi halal dilengserkan,manusia yang enggak nilai dan kuwalita enggak menjadi apapun negeri
119,1,sandiwara dagelan koplax perskusi sendiridi viralkan sendiridi laporkan maaf memaafkan,sandiwara dagelan koplax perskusi sendiridi viralkan sendiridi laporkan maaf memaafkan sakit jiwa kali ya
120,1,beredar surat rekrutmen satpol pp kepala satpol pp damkar sintang angkat bicara,kepala satpol pp damkar martin nandung enggak sumber penanggungjawab indak cap tanda tangan
121,1,ketua kpu imbau masyarakat hormati hasil pemilu kecurangan,ketua kpu imbau masyarakat hormati hasil pemilu kecurangan
122,1,universita brawijaya umm bantah liburkan perkuliahan aksi mahasiswa,hoak mbak kegiatan belajar normal kegiatan kampu normal
123,1,luthfi abdul hadi maaf kiai said aqil siroj,gu ipul wakil gubernur jatim turun tangan menyelesaikan fitnah yang tuduhkan ketum pbnu prof dari kah said aqil siroj semoga tukang fitnah kejang
124,1,asosiasi guru bahasa sastra indonesia kecam ani baswedan,asosiasi guru bahasa sastra indonesia kecam ani baswedan lihai tata bodohi warga jakarta
125,1,khoirul anwar penemu lte,khoirul anwar dianggap gila ditertawakan dicemooh idenya dianggap muskil masuk akal ilmuwan berkumpul hokkaido jepang menganggap pemikiran dipresentasikan berguna
126,1,syukuran jokowi,syukuran jokowi tanpa kamera bawa bekal kompak salam jokowi
127,1,video polisi tembak saksi rekap pleno kpu,polisi menembak saksi terima rekap pleno kpu
128,0,penjelasan kpu gowa terkait baliho surat suara mencantumkan foto caprescawapr prabowosandi,pemasangan baliho contoh surat suara pilpr kpu kec bontonompo kab gowa foto capr cawapr kpu gowa mencederai demokrasi
129,1,masukan persatuan tunanetra indonesia terkait brail surat suara jakarta salah,info pertuni masukan saja pertuni persatuan tunanetra indonesia yang jakarta mengecek surat suara yang brail kpu salah
130,0,kementan bantah siluet wajah dibungku plastik bertuliskan bera segar toko tani indonesia presiden jokowi,gambar foto tertera kemasan bera toko tani indonesia foto presiden ri jokowi foto model staf kementan biro pengadaan kementan ma agu faizal kepala biro huma informasi publik kementan kuntoro boga andri selasa
131,0,dink aceh membantah isu pelajar lumpuh vaksin mr,berhubungan imunisasi penyakit efek vaksin mr
132,1,hasil scan port bolong,kpu server bawa itb moratel bagaimana pemilu
133,1,rekrutmen pt pindad,sehubungan rekrutmen calon karyawan pt pindad wilayah kerja meliputi region sulawesi
134,0,maradona bantah kabar meningg laga argentina vs nigeria piala dunia,maradona bantah kabar meningg laga argentina vs nigeria piala dunia
135,1,mark zuckerberg ceo facebook menemukan bff,test fb teman mark zuckerberg ceo facebook menemukan bff akun aman facebook ketik bff komentar hijau akun dilindungi muncul warna hijau ubah sandi direta copi
136,0,penjelasan terkait berita muslim cyber armi sesuai standar,berdasarkan peninjauan intern redaksi ditemukan fakta editor terburuburu mengunggah artikel mengabaikan standar ditentukan terkait cover bothsid selektif mencari narasumb menjadikan akun anonim rujukan utama
137,0,teror kiai ponp kediri hoax cerita,teror kiai ponp kediri hoax cerita
138,0,penganiayaan ulama bogor,untuk kesekian kalinya penganiayaan terhadap ulama jabar hari ulama bogor ustsulaiman dibacok orang gila bogor umat islam rapatkan barisan alway waspada
139,0,bahaya makan rambutan minum teh mani sebabkan penyumbatan saluran pernapasan,bahaya makan rambutan minum teh mani sebabkan penyumbatan saluran pernapasan
140,1,jalan selamat riyadi kota solo tergenang banjir,wali kota solo fx hadi rudyatmo geram informasi hoax terkait banjir jalan selamat riyadi solo
141,1,mahalnya biaya sekolah pelayaran,sekolah pelayaran sudah bayarnya mahal dididik milit sakit hati sakit badan
142,1,video peserta aksi merusak toko,sisa video pendemo menjarah warung jakarta novemb semalam share biar kelakuannya
143,1,saham taxi express dimiliki sandiaga uno,kepemilikan saham taxi express pengusaha cagub sandiaga uno
144,1,mesin mobil mati rel kereta api,mesin mobil mati perlintasan rel kereta api orang awam terkadang sbbkan karena perlintasan tersebut angkerkurang sajen kemenyanada demit dll
145,0,indonesia gagal wujudkan swasembada pangan,pemerintah rencana impor bera juta ton indonesia gagal swasembada
146,1,media menyiarkan demo ruu hip,kah percaya tvtidak satupunmedia tv menyiarkan demo tolak uu hip orang desa jangkauan percaya tv tv boke rezim berkuasaayo rakyat bukakan mata pikiranisu covid pengalihanini bentuk pembodohan sdm
147,1,pembakar bendera pdip anggota simpatisan pdip,bawa bakar lapor pki tukang nyusup licik pengalihan tolak ruu hippki kepada umat kristiani jangan terhasut pki yang suka fitnah adu domba mendukung membela pki dosa pki tidak percaya yesu kristu agamapki anteknya pendukung tempatnya kerak neraka
148,1,minggu juni baim rili hadiah orang pemenang,minggu juni orang pemenang rili hadiah
149,1,panggilan seleksi rekrutmen pertamina tanggal juni,surat bernomor hrdpt pertamina perserovi perih panggilan seleksi rekrutmen karyawan surat lokasi seleksi rekrutmen gedung perwira lantai jl medan merdeka timur jakarta pusat
150,1,ucapan bela sungkawa presiden dari team medi yang berguguran dimedan covid,ucapan bela sungkawa presiden dari team medi yang berguguran dimedan covid
151,1,video gereja azankan corona enggak aktif dengarkan azan,gereja azankanmrk karena berdasarkan riset corona enggak aktif dengarkan azan alquranmashaallah
152,1,video ini america there ha been loot everywher for fear of the corona viru,ini america there ha been loot everywher for fear of the corona viru
153,1,pelintiran kontek foto apd hasil ekspor korea bertulisan made indonesia,buatan indonesia pabriknya korsel salesnya tiongkok pembelinya indonesia mumet endasku foto du tulisan merek apd tulisan korea dibawahnya tulisan berbahasa inggri du warna apd nomor seri menarik tulisan made ini indonesia
154,0,updat statu terkait penutupan destinasi wisata diy,komunikasikan kementerian bumn sesuai ajakan presiden jokowi twc berlakukan penutupan pengunjung
155,1,pasien viru corona dari badau otw dirujuk rumah sakit rujukan sintang,selamat sore kwn barusan dapat info dari kwn yang kerja rs sintang pasien viru corona dari badau sedang otw dirujuk rumah sakit rujukan sintang untuk waspada kalau berkunjung rs anang klupa pakai masker
156,1,cikarang siaga viru corona orang meningg meikarta,ikarang siaga viru corona kabar daerah lippo yang terserang viiru corona orang meningg dunia nyelidiki tkpdan himbauan warga cikarang wajib memakai masker terkena viru coronapusat viru corona perusahaan meikarta pemerintah belum menindak tadi pagi aksi habib sebekasi pemerintah membasmi viru corona bekasi
157,1,video mata jule akibat main game ular yang lagi trend sekarang hati gaeeee,akibat main game ular yang lagi trend sekarang hati gaeeee
158,1,judul artikel dilaporkan pdip sukmawati ditahan orang kuat,artikel tamparannewsdotblogspotdotcom menampilkan artikel judul dilaporkan pdip sukmawati ditahan orang kuat artikel dituli merdekaind
159,1,maskapai penebangan turki melarikan tabrakan direncanakan terori tanker bahan bakar,maskapai penebangan turki melarikan tabrakan direncanakan terori tanker bahan bakar keahlian pilot keputusan diambilnya sepersekian detik menyelamatkan penumpang mukjizat terori khilafah out nkri
160,1,royalti ribu rupiah wa,berikhla hati untuk menghilangkan penderitaan anak mohon video diteruskan kepada anak royalti ribu rupiah wa yang kurim terimakasih semoga pahala amin yra
161,1,artikel liputancom rhoma irama salah bilang sentuh mira setet nyabu,salah bilang sentuh mira setet nyabu
162,1,menpora imam nahrawi mundur jabatannya,info sebelah
